,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Highland,80 to 84,"8,336","3,422","4,914","7,828","3,267","4,561",508,155,353
Highland,85 to 89,"4,912","1,749","3,163","4,319","1,612","2,707",593,137,456
Highland,90 to 94,"1,884",491,"1,393","1,459",423,"1,036",425,68,357
Highland,95 and over,552,122,430,350,94,256,202,28,174
Lanarkshire,All people,"574,637","277,505","297,132","569,505","275,266","294,239","5,132","2,239","2,893"
Lanarkshire,0 to 4,"33,252","16,882","16,370","33,250","16,881","16,369",2,1,1
Lanarkshire,5 to 9,"31,725","16,123","15,602","31,722","16,121","15,601",3,2,1
Lanarkshire,10 to 11,"13,086","6,605","6,481","13,082","6,601","6,481",4,4,-
Lanarkshire,12 to 14,"21,049","10,760","10,289","21,008","10,735","10,273",41,25,16
Lanarkshire,15,"7,142","3,747","3,395","7,115","3,727","3,388",27,20,7
Lanarkshire,16 to 17,"14,453","7,451","7,002","14,410","7,422","6,988",43,29,14
Lanarkshire,18 to 19,"14,527","7,416","7,111","14,444","7,370","7,074",83,46,37
Lanarkshire,20 to 24,"34,454","17,351","17,103","34,272","17,203","17,069",182,148,34
Lanarkshire,25 to 29,"35,286","17,108","18,178","35,096","16,929","18,167",190,179,11
Lanarkshire,30 to 34,"34,613","16,935","17,678","34,442","16,770","17,672",171,165,6
Lanarkshire,35 to 39,"38,274","18,691","19,583","38,113","18,542","19,571",161,149,12
Lanarkshire,40 to 44,"45,337","21,993","23,344","45,183","21,852","23,331",154,141,13
Lanarkshire,45 to 49,"46,373","22,576","23,797","46,203","22,430","23,773",170,146,24
Lanarkshire,50 to 54,"41,852","20,304","21,548","41,733","20,221","21,512",119,83,36
Lanarkshire,55 to 59,"36,450","17,611","18,839","36,330","17,534","18,796",120,77,43
Lanarkshire,60 to 64,"35,246","17,081","18,165","35,111","16,995","18,116",135,86,49
